x, rho, v, P, time
-3.016666666666666607e+00,4.071257609577513037e+00,2.524116233034741974e+00,1.114576063202133227e+01,8.887274272150665899e-01
-2.983333333333333393e+00,4.067955035267859287e+00,2.525645727046414102e+00,1.113309443438203772e+01,8.887274272150665899e-01
-2.950000000000000178e+00,4.058593894815175851e+00,2.530141491864644987e+00,1.109722697551262449e+01,8.887274272150665899e-01
-2.916666666666666963e+00,4.044355688492966117e+00,2.537055406258050372e+00,1.104272549945589788e+01,8.887274272150665899e-01
-2.883333333333333304e+00,4.026163312342570855e+00,2.545894274194275386e+00,1.097323780799124471e+01,8.887274272150665899e-01
-2.850000000000000089e+00,4.004822482896479130e+00,2.556252980650699058e+00,1.089191350429610772e+01,8.887274272150665899e-01
-2.816666666666666874e+00,3.980975535674314170e+00,2.567876794548779706e+00,1.080120254962546156e+01,8.887274272150665899e-01
-2.783333333333333215e+00,3.955051534424359083e+00,2.580612603955734663e+00,1.070278222692206604e+01,8.887274272150665899e-01
-2.750000000000000000e+00,3.927333305640598571e+00,2.594319822225898076e+00,1.059785264849890041e+01,8.887274272150665899e-01
-2.716666666666666785e+00,3.898073412629625700e+00,2.608853087301885143e+00,1.048746333804919040e+01,8.887274272150665899e-01
-2.683333333333333570e+00,3.867563586326351555e+00,2.624084870023749350e+00,1.037269403786471145e+01,8.887274272150665899e-01
-2.649999999999999911e+00,3.836136327472301932e+00,2.639889043839266147e+00,1.025476445496052236e+01,8.887274272150665899e-01
-2.616666666666666696e+00,3.804059024078300322e+00,2.656138767815826363e+00,1.013479965233906910e+01,8.887274272150665899e-01
-2.583333333333333481e+00,3.771652159292019135e+00,2.672648044248671084e+00,1.001417717394418716e+01,8.887274272150665899e-01
-2.550000000000000266e+00,3.739645652443066126e+00,2.689041525106683928e+00,9.895581843864624361e+00,8.887274272150665899e-01
-2.516666666666666607e+00,3.709045449079978241e+00,2.704832860543064044e+00,9.782461639793238461e+00,8.887274272150665899e-01
-2.483333333333333393e+00,3.680630933297474705e+00,2.719635363322367549e+00,9.677442304263747630e+00,8.887274272150665899e-01
-2.450000000000000178e+00,3.654917487741142335e+00,2.733137974110975144e+00,9.582495132794427661e+00,8.887274272150665899e-01
-2.416666666666666963e+00,3.632626827862269536e+00,2.744840827280001783e+00,9.500836553562507447e+00,8.887274272150665899e-01
-2.383333333333333304e+00,3.615492249539615344e+00,2.753787027663008757e+00,9.438811868040687614e+00,8.887274272150665899e-01
-2.350000000000000089e+00,3.606535432603160451e+00,2.758469064540762350e+00,9.406543707025841528e+00,8.887274272150665899e-01
-2.316666666666666874e+00,3.609500711653684135e+00,2.756901530902891029e+00,9.417333663869015936e+00,8.887274272150665899e-01
-2.283333333333333215e+00,3.630961989373385101e+00,2.745730459143533864e+00,9.494815438023017862e+00,8.887274272150665899e-01
-2.250000000000000000e+00,3.676688895187024908e+00,2.722002699032933570e+00,9.660651721154355442e+00,8.887274272150665899e-01
-2.216666666666666785e+00,3.745078851543782950e+00,2.686542195876072014e+00,9.913645973322639193e+00,8.887274272150665899e-01
-2.183333333333333570e+00,3.825679792764707265e+00,2.645089957224459276e+00,1.021630462087516911e+01,8.887274272150665899e-01
-2.149999999999999911e+00,3.903142561030828350e+00,2.606087344366473157e+00,1.050798987649892346e+01,8.887274272150665899e-01
-2.116666666666666696e+00,3.966203144520816792e+00,2.574647254755237036e+00,1.074946359196610857e+01,8.887274272150665899e-01
