x, u, time
4.003202562049639444e-04,2.474651313373928477e-02,3.893587247743130475e-01
1.200960768614891833e-03,2.345654751917512770e-02,3.893587247743130475e-01
2.001601281024820156e-03,2.222527435134541776e-02,3.893587247743130475e-01
2.802241793434748045e-03,2.105053485761061716e-02,3.893587247743130475e-01
3.602882305844675934e-03,1.993022048221935669e-02,3.893587247743130475e-01
4.403522818254604690e-03,1.886227338900914319e-02,3.893587247743130475e-01
5.204163330664531711e-03,1.784468684255445178e-02,3.893587247743130475e-01
6.004803843074460468e-03,1.687550547336672674e-02,3.893587247743130475e-01
6.805444355484387489e-03,1.595282543275597723e-02,3.893587247743130475e-01
7.606084867894316245e-03,1.507479444295365713e-02,3.893587247743130475e-01
8.406725380304245002e-03,1.423961174806749087e-02,3.893587247743130475e-01
9.207365892714172023e-03,1.344552797139279658e-02,3.893587247743130475e-01
1.000800640512410078e-02,1.269084488455457863e-02,3.893587247743130475e-01
1.080864691753402780e-02,1.197391509388533518e-02,3.893587247743130475e-01
1.160928742994395656e-02,1.129314164935147843e-02,3.893587247743130475e-01
1.240992794235388358e-02,1.064697758126376820e-02,3.893587247743130475e-01
1.321056845476381233e-02,1.003392536988917394e-02,3.893587247743130475e-01
1.401120896717374109e-02,9.452536352976293257e-03,3.893587247743130475e-01
1.481184947958366811e-02,8.901410076076025912e-03,3.893587247743130475e-01
1.561248999199359687e-02,8.379193590418530097e-03,3.893587247743130475e-01
1.641313050440352389e-02,7.884580702955740900e-03,3.893587247743130475e-01
1.721377101681344918e-02,7.416311183043260320e-03,3.893587247743130475e-01
1.801441152922337793e-02,6.973169930084038848e-03,3.893587247743130475e-01
1.881505204163330669e-02,6.553986106300480063e-03,3.893587247743130475e-01
1.961569255404323545e-02,6.157632238646904010e-03,3.893587247743130475e-01
2.041633306645316420e-02,5.783023293713590758e-03,3.893587247743130475e-01
2.121697357886308949e-02,5.429115729312923404e-03,3.893587247743130475e-01
2.201761409127301825e-02,5.094906526276443172e-03,3.893587247743130475e-01
2.281825460368294700e-02,4.779432203829031903e-03,3.893587247743130475e-01
2.361889511609287576e-02,4.481767821742857136e-03,3.893587247743130475e-01
2.441953562850280104e-02,4.201025972312861026e-03,3.893587247743130475e-01
2.522017614091272980e-02,3.936355765035242510e-03,3.893587247743130475e-01
2.602081665332265856e-02,3.686941806708718492e-03,3.893587247743130475e-01
2.682145716573258731e-02,3.452003179523195284e-03,3.893587247743130475e-01
2.762209767814251607e-02,3.230792419543499026e-03,3.893587247743130475e-01
2.842273819055244136e-02,3.022594497843500341e-03,3.893587247743130475e-01
2.922337870296237011e-02,2.826725806395584406e-03,3.893587247743130475e-01
3.002401921537229887e-02,2.642533150674531307e-03,3.893587247743130475e-01
3.082465972778222763e-02,2.469392750791374325e-03,3.893587247743130475e-01
3.162530024019215291e-02,2.306709252832718840e-03,3.893587247743130475e-01
3.242594075260208514e-02,2.153914751947148040e-03,3.893587247743130475e-01
3.322658126501201042e-02,2.010467828587812235e-03,3.893587247743130475e-01
3.402722177742193571e-02,1.875852599193868469e-03,3.893587247743130475e-01
3.482786228983186794e-02,1.749577782471110898e-03,3.893587247743130475e-01
3.562850280224179322e-02,1.631175782315280598e-03,3.893587247743130475e-01
3.642914331465172545e-02,1.520201788307663174e-03,3.893587247743130475e-01
3.722978382706165074e-02,1.416232894604529903e-03,3.893587247743130475e-01
3.803042433947157602e-02,1.318867237939420596e-03,3.893587247743130475e-01
3.883106485188150825e-02,1.227723155357987117e-03,3.893587247743130475e-01
3.963170536429143354e-02,1.142438362212073229e-03,3.893587247743130475e-01
4.043234587670136576e-02,1.062669150850651225e-03,3.893587247743130475e-01
4.123298638911129105e-02,9.880896103617213891e-04,3.893587247743130475e-01
4.203362690152121633e-02,9.183908676395368710e-04,3.893587247743130475e-01
4.283426741393114856e-02,8.532803499773657617e-04,3.893587247743130475e-01
4.363490792634107385e-02,7.924810693160656274e-04,3.893587247743130475e-01
4.443554843875099913e-02,7.357309282133068671e-04,3.893587247743130475e-01
4.523618895116093136e-02,6.827820475372901269e-04,3.893587247743130475e-01
4.603682946357085665e-02,6.334001158323868683e-04,3.893587247743130475e-01
4.683746997598078887e-02,5.873637602512247471e-04,3.893587247743130475e-01
4.763811048839071416e-02,5.444639388999015324e-04,3.893587247743130475e-01
4.843875100080063945e-02,5.045033543982686570e-04,3.893587247743130475e-01
4.923939151321057167e-02,4.672958884166030923e-04,3.893587247743130475e-01
5.004003202562049696e-02,4.326660569129627400e-04,3.893587247743130475e-01
5.084067253803042918e-02,4.004484857621659231e-04,3.893587247743130475e-01
5.164131305044035447e-02,3.704874064372167463e-04,3.893587247743130475e-01
5.244195356285027976e-02,3.426361713770597370e-04,3.893587247743130475e-01
5.324259407526021198e-02,3.167567886508013087e-04,3.893587247743130475e-01
5.404323458767013727e-02,2.927194755076628001e-04,3.893587247743130475e-01
5.484387510008006950e-02,2.704022303838803662e-04,3.893587247743130475e-01
5.564451561248999478e-02,2.496904229221313465e-04,3.893587247743130475e-01
5.644515612489992007e-02,2.304764015463296820e-04,3.893587247743130475e-01
5.724579663730985229e-02,2.126591181238050605e-04,3.893587247743130475e-01
5.804643714971977758e-02,1.961437692384400584e-04,3.893587247743130475e-01
5.884707766212970981e-02,1.808414535920730803e-04,3.893587247743130475e-01
5.964771817453963509e-02,1.666688450468290048e-04,3.893587247743130475e-01
