x, u, time
4.003202562049639444e-04,2.567267121459473889e-01,4.330766454684437661e-01
1.200960768614891833e-03,2.485088839428530316e-01,4.330766454684437661e-01
2.001601281024820156e-03,2.404616056245678368e-01,4.330766454684437661e-01
2.802241793434748045e-03,2.325854432164988772e-01,4.330766454684437661e-01
3.602882305844675934e-03,2.248807501461334846e-01,4.330766454684437661e-01
4.403522818254604690e-03,2.173476736710270307e-01,4.330766454684437661e-01
5.204163330664531711e-03,2.099861614848728408e-01,4.330766454684437661e-01
6.004803843074460468e-03,2.027959684807556506e-01,4.330766454684437661e-01
6.805444355484387489e-03,1.957766636509907232e-01,4.330766454684437661e-01
7.606084867894316245e-03,1.889276371032750368e-01,4.330766454684437661e-01
8.406725380304245002e-03,1.822481071732762470e-01,4.330766454684437661e-01
9.207365892714172023e-03,1.757371276141773131e-01,4.330766454684437661e-01
1.000800640512410078e-02,1.693935948442280015e-01,4.330766454684437661e-01
1.080864691753402780e-02,1.632162552338006223e-01,4.330766454684437661e-01
1.160928742994395656e-02,1.572037124140182318e-01,4.330766454684437661e-01
1.240992794235388358e-02,1.513544345896764565e-01,4.330766454684437661e-01
1.321056845476381233e-02,1.456667618397032016e-01,4.330766454684437661e-01
1.401120896717374109e-02,1.401389133890904581e-01,4.330766454684437661e-01
1.481184947958366811e-02,1.347689948369135138e-01,4.330766454684437661e-01
1.561248999199359687e-02,1.295550053257139012e-01,4.330766454684437661e-01
1.641313050440352389e-02,1.244948446382736496e-01,4.330766454684437661e-01
1.721377101681344918e-02,1.195863202084668370e-01,4.330766454684437661e-01
1.801441152922337793e-02,1.148271540336985169e-01,4.330766454684437661e-01
1.881505204163330669e-02,1.102149894771185801e-01,4.330766454684437661e-01
1.961569255404323545e-02,1.057473979485703958e-01,4.330766454684437661e-01
2.041633306645316420e-02,1.014218854540058501e-01,4.330766454684437661e-01
2.121697357886308949e-02,9.723589900385169738e-02,4.330766454684437661e-01
2.201761409127301825e-02,9.318683287156549755e-02,4.330766454684437661e-01
2.281825460368294700e-02,8.927203469434813465e-02,4.330766454684437661e-01
2.361889511609287576e-02,8.548881140876171680e-02,4.330766454684437661e-01
2.441953562850280104e-02,8.183443501472001391e-02,4.330766454684437661e-01
2.522017614091272980e-02,7.830614816204296835e-02,4.330766454684437661e-01
2.602081665332265856e-02,7.490116955447972957e-02,4.330766454684437661e-01
2.682145716573258731e-02,7.161669916680417358e-02,4.330766454684437661e-01
2.762209767814251607e-02,6.844992327127802367e-02,4.330766454684437661e-01
2.842273819055244136e-02,6.539801927041091756e-02,4.330766454684437661e-01
2.922337870296237011e-02,6.245816033360920838e-02,4.330766454684437661e-01
3.002401921537229887e-02,5.962751983594868216e-02,4.330766454684437661e-01
3.082465972778222763e-02,5.690327559786077793e-02,4.330766454684437661e-01
3.162530024019215291e-02,5.428261392512676725e-02,4.330766454684437661e-01
3.242594075260208514e-02,5.176273344912184216e-02,4.330766454684437661e-01
3.322658126501201042e-02,4.934084876778623702e-02,4.330766454684437661e-01
3.402722177742193571e-02,4.701419388828376872e-02,4.330766454684437661e-01
3.482786228983186794e-02,4.478002547280717643e-02,4.330766454684437661e-01
3.562850280224179322e-02,4.263562588942483578e-02,4.330766454684437661e-01
3.642914331465172545e-02,4.057830607028919262e-02,4.330766454684437661e-01
3.722978382706165074e-02,3.860540817992630380e-02,4.330766454684437661e-01
3.803042433947157602e-02,3.671430809670045425e-02,4.330766454684437661e-01
3.883106485188150825e-02,3.490241771087259498e-02,4.330766454684437661e-01
3.963170536429143354e-02,3.316718704301373916e-02,4.330766454684437661e-01
4.043234587670136576e-02,3.150610618679308000e-02,4.330766454684437661e-01
4.123298638911129105e-02,2.991670708045022706e-02,4.330766454684437661e-01
4.203362690152121633e-02,2.839656511147704496e-02,4.330766454684437661e-01
4.283426741393114856e-02,2.694330055926319467e-02,4.330766454684437661e-01
4.363490792634107385e-02,2.555457988063153732e-02,4.330766454684437661e-01
4.443554843875099913e-02,2.422811684335458154e-02,4.330766454684437661e-01
4.523618895116093136e-02,2.296167351288634292e-02,4.330766454684437661e-01
4.603682946357085665e-02,2.175306109765384396e-02,4.330766454684437661e-01
4.683746997598078887e-02,2.060014065834518682e-02,4.330766454684437661e-01
4.763811048839071416e-02,1.950082368670895405e-02,4.330766454684437661e-01
4.843875100080063945e-02,1.845307255942334884e-02,4.330766454684437661e-01
4.923939151321057167e-02,1.745490087263123699e-02,4.330766454684437661e-01
5.004003202562049696e-02,1.650437366274653053e-02,4.330766454684437661e-01
5.084067253803042918e-02,1.559960751914396190e-02,4.330766454684437661e-01
5.164131305044035447e-02,1.473877059431717360e-02,4.330766454684437661e-01
