x, rho, v, P, time
-4.983333333333333393e+00,3.857143000055792026e+00,2.629368999933873408e+00,1.033329999973241797e+01,1.763178158116177174e+00
-4.950000000000000178e+00,3.857143000055788917e+00,2.629368999933872963e+00,1.033329999973242153e+01,1.763178158116177174e+00
-4.916666666666666963e+00,3.857143000055699655e+00,2.629368999933918261e+00,1.033329999973209112e+01,1.763178158116177174e+00
-4.883333333333333748e+00,3.857143000055769821e+00,2.629368999933880513e+00,1.033329999973238067e+01,1.763178158116177174e+00
-4.849999999999999645e+00,3.857143000055927473e+00,2.629368999933801465e+00,1.033329999973296864e+01,1.763178158116177174e+00
-4.816666666666666430e+00,3.857143000055780035e+00,2.629368999933873852e+00,1.033329999973244995e+01,1.763178158116177174e+00
-4.783333333333333215e+00,3.857143000055788917e+00,2.629368999933870743e+00,1.033329999973248903e+01,1.763178158116177174e+00
-4.750000000000000000e+00,3.857143000055665016e+00,2.629368999933932916e+00,1.033329999973205560e+01,1.763178158116177174e+00
-4.716666666666666785e+00,3.857143000055391902e+00,2.629368999934070139e+00,1.033329999973103952e+01,1.763178158116177174e+00
-4.683333333333333570e+00,3.857143000056460380e+00,2.629368999933532791e+00,1.033329999973506474e+01,1.763178158116177174e+00
-4.650000000000000355e+00,3.857143000056493687e+00,2.629368999933516804e+00,1.033329999973519442e+01,1.763178158116177174e+00
-4.616666666666667140e+00,3.857143000054955362e+00,2.629368999934292628e+00,1.033329999972941238e+01,1.763178158116177174e+00
-4.583333333333333037e+00,3.857143000056041604e+00,2.629368999933750839e+00,1.033329999973347668e+01,1.763178158116177174e+00
-4.549999999999999822e+00,3.857143000054442439e+00,2.629368999934557749e+00,1.033329999972747970e+01,1.763178158116177174e+00
-4.516666666666666607e+00,3.857143000052461357e+00,2.629368999935555617e+00,1.033329999972004920e+01,1.763178158116177174e+00
-4.483333333333333393e+00,3.857143000061258320e+00,2.629368999931136486e+00,1.033329999975306634e+01,1.763178158116177174e+00
-4.450000000000000178e+00,3.857143000060494042e+00,2.629368999931515738e+00,1.033329999975024549e+01,1.763178158116177174e+00
-4.416666666666666963e+00,3.857143000052392079e+00,2.629368999935585371e+00,1.033329999971981472e+01,1.763178158116177174e+00
-4.383333333333333748e+00,3.857143000068796734e+00,2.629368999927336414e+00,1.033329999978143476e+01,1.763178158116177174e+00
-4.349999999999999645e+00,3.857143000055821336e+00,2.629368999933860973e+00,1.033329999973267377e+01,1.763178158116177174e+00
-4.316666666666666430e+00,3.857143000018000034e+00,2.629368999952838237e+00,1.033329999959093470e+01,1.763178158116177174e+00
-4.283333333333333215e+00,3.857143000064091165e+00,2.629368999929706519e+00,1.033329999976370495e+01,1.763178158116177174e+00
-4.250000000000000000e+00,3.857143000055725857e+00,2.629368999933914264e+00,1.033329999973229363e+01,1.763178158116177174e+00
-4.216666666666666785e+00,3.857142999944672912e+00,2.629368999989632805e+00,1.033329999931612875e+01,1.763178158116177174e+00
-4.183333333333333570e+00,3.857143000072147387e+00,2.629368999925731920e+00,1.033329999979328129e+01,1.763178158116177174e+00
-4.150000000000000355e+00,3.857143000149296785e+00,2.629368999886785296e+00,1.033330000008460203e+01,1.763178158116177174e+00
-4.116666666666667140e+00,3.857142999800535321e+00,2.629369000062221406e+00,1.033329999877319416e+01,1.763178158116177174e+00
-4.083333333333333037e+00,3.857142999997662969e+00,2.629368999962826692e+00,1.033329999951743616e+01,1.763178158116177174e+00
-4.049999999999999822e+00,3.857143000518992615e+00,2.629368999701428233e+00,1.033330000146689009e+01,1.763178158116177174e+00
-4.016666666666666607e+00,3.857142999623211388e+00,2.629369000151303926e+00,1.033329999811181921e+01,1.763178158116177174e+00
-3.983333333333333393e+00,3.857142999366592662e+00,2.629369000278787283e+00,1.033329999715065384e+01,1.763178158116177174e+00
-3.950000000000000178e+00,3.857143001410704652e+00,2.629368999256425532e+00,1.033330000480122735e+01,1.763178158116177174e+00
-3.916666666666666963e+00,3.857143000261402221e+00,2.629368999824883257e+00,1.033330000053528863e+01,1.763178158116177174e+00
-3.883333333333333304e+00,3.857142997038159216e+00,2.629369001458930821e+00,1.033329998835491281e+01,1.763178158116177174e+00
-3.850000000000000089e+00,3.857143001613691169e+00,2.629368999136752816e+00,1.033330000567172391e+01,1.763178158116177174e+00
-3.816666666666666430e+00,3.857143005108433442e+00,2.629368997415761466e+00,1.033330001855226676e+01,1.763178158116177174e+00
-3.783333333333333215e+00,3.857142993652275198e+00,2.629369003131805105e+00,1.033329997585476967e+01,1.763178158116177174e+00
-3.750000000000000000e+00,3.857142993369196304e+00,2.629369003293034801e+00,1.033329997457999205e+01,1.763178158116177174e+00
-3.716666666666666785e+00,3.857143016231298738e+00,2.629368991853462401e+00,1.033330006025610359e+01,1.763178158116177174e+00
-3.683333333333333570e+00,3.857143005862158081e+00,2.629368996886348064e+00,1.033330002213532772e+01,1.763178158116177174e+00
-3.650000000000000355e+00,3.857142965804605250e+00,2.629369017427106048e+00,1.033329986977802406e+01,1.763178158116177174e+00
-3.616666666666666696e+00,3.857142999016235585e+00,2.629368999900540960e+00,1.033329999865689786e+01,1.763178158116177174e+00
-3.583333333333333481e+00,3.857143070496058090e+00,2.629368965481391651e+00,1.033330025939106456e+01,1.763178158116177174e+00
-3.549999999999999822e+00,3.857142982089154071e+00,2.629369007621995102e+00,1.033329993851793205e+01,1.763178158116177174e+00
-3.516666666666666607e+00,3.857142869551956732e+00,2.629369067129283533e+00,1.033329950367344807e+01,1.763178158116177174e+00
-3.483333333333333393e+00,3.857143043499865698e+00,2.629368976491896603e+00,1.033330016626043779e+01,1.763178158116177174e+00
-3.450000000000000178e+00,3.857143256893194483e+00,2.629368871654925499e+00,1.033330096948181520e+01,1.763178158116177174e+00
-3.416666666666666963e+00,3.857142922609868130e+00,2.629369040818692049e+00,1.033329968071458360e+01,1.763178158116177174e+00
-3.383333333333333304e+00,3.857142480674333296e+00,2.629369253234606685e+00,1.033329812001220382e+01,1.763178158116177174e+00
-3.350000000000000089e+00,3.857143113404963852e+00,2.629368959921721149e+00,1.033330029566668173e+01,1.763178158116177174e+00
-3.316666666666666430e+00,3.857143917332728655e+00,2.629368508367015522e+00,1.033330364749937225e+01,1.763178158116177174e+00
-3.283333333333333215e+00,3.857143239709450722e+00,2.629368928868230260e+00,1.033330061654070420e+01,1.763178158116177174e+00
-3.250000000000000000e+00,3.857141117589599766e+00,2.629369876612441814e+00,1.033329323992431092e+01,1.763178158116177174e+00
-3.216666666666666785e+00,3.857141957779507191e+00,2.629369604464103727e+00,1.033329592974446953e+01,1.763178158116177174e+00
-3.183333333333333570e+00,3.857145599497846966e+00,2.629367620654547544e+00,1.033330944376649541e+01,1.763178158116177174e+00
-3.150000000000000355e+00,3.857146624952661806e+00,2.629367208205982465e+00,1.033331492877448454e+01,1.763178158116177174e+00
-3.116666666666666696e+00,3.857141170073265624e+00,2.629369994986239245e+00,1.033328995235026682e+01,1.763178158116177174e+00
-3.083333333333333481e+00,3.857131752761014720e+00,2.629374398576800775e+00,1.033326386297691890e+01,1.763178158116177174e+00
-3.049999999999999822e+00,3.857134826190228960e+00,2.629373557283933405e+00,1.033325977629742809e+01,1.763178158116177174e+00
-3.016666666666666607e+00,3.857132024399333226e+00,2.629373924179811084e+00,1.033327313549423820e+01,1.763178158116177174e+00
-2.983333333333333393e+00,3.857093446378951462e+00,2.629394143749566481e+00,1.033311063206537028e+01,1.763178158116177174e+00
-2.950000000000000178e+00,3.856895847462251670e+00,2.629494056520557344e+00,1.033231783381798152e+01,1.763178158116177174e+00
-2.916666666666666963e+00,3.856257162662646287e+00,2.629814436671355171e+00,1.032991804590503016e+01,1.763178158116177174e+00
-2.883333333333333304e+00,3.854691319640941138e+00,2.630603636045945493e+00,1.032401807083829226e+01,1.763178158116177174e+00
-2.850000000000000089e+00,3.850772475008072515e+00,2.632571420427958220e+00,1.030936949129458924e+01,1.763178158116177174e+00
-2.816666666666666874e+00,3.841881947419236720e+00,2.637042368253876390e+00,1.027610268492119161e+01,1.763178158116177174e+00
-2.783333333333333215e+00,3.828139778325605924e+00,2.643976676958756489e+00,1.022467527246339891e+01,1.763178158116177174e+00
-2.750000000000000000e+00,3.810184734458531786e+00,2.653050690608055096e+00,1.015766546102542556e+01,1.763178158116177174e+00
-2.716666666666666785e+00,3.785036378225272280e+00,2.665855817943753703e+00,1.006382329530342012e+01,1.763178158116177174e+00
-2.683333333333333570e+00,3.750991205788944072e+00,2.683248170995603754e+00,9.937442226135210888e+00,1.763178158116177174e+00
-2.649999999999999911e+00,3.720510508009967410e+00,2.698946962188496723e+00,9.824684202311045667e+00,1.763178158116177174e+00
-2.616666666666666696e+00,3.713440814678008906e+00,2.702559919799341959e+00,9.797981310717588599e+00,1.763178158116177174e+00
-2.583333333333333481e+00,3.785213466339385935e+00,2.667184768246269044e+00,1.006377780951921608e+01,1.763178158116177174e+00
-2.550000000000000266e+00,3.976571310631754397e+00,2.573148036924580051e+00,1.074114986506328506e+01,1.763178158116177174e+00
-2.516666666666666607e+00,4.042264010465152602e+00,2.530432914312882531e+00,1.106507025158728119e+01,1.763178158116177174e+00
-2.483333333333333393e+00,4.053089107540597702e+00,2.527558519834086415e+00,1.111976021258246305e+01,1.763178158116177174e+00
-2.450000000000000178e+00,4.057211526109967714e+00,2.531466383236262718e+00,1.110964013104056392e+01,1.763178158116177174e+00
-2.416666666666666963e+00,4.054554228988296316e+00,2.537131855138741177e+00,1.106993626575773249e+01,1.763178158116177174e+00
-2.383333333333333304e+00,4.044949819162867222e+00,2.542855936498502611e+00,1.101353521661200219e+01,1.763178158116177174e+00
-2.350000000000000089e+00,4.028992766222055266e+00,2.548749063277075955e+00,1.094770001359357359e+01,1.763178158116177174e+00
-2.316666666666666874e+00,4.005473469198081560e+00,2.556126103178077980e+00,1.087980523987455683e+01,1.763178158116177174e+00
-2.283333333333333215e+00,3.976638397766689703e+00,2.564814537415710749e+00,1.081184875837241499e+01,1.763178158116177174e+00
-2.250000000000000000e+00,3.955002122268279408e+00,2.574609262232447016e+00,1.074644123993451750e+01,1.763178158116177174e+00
-2.216666666666666785e+00,3.941135411841532044e+00,2.584719790141128737e+00,1.068250783450599783e+01,1.763178158116177174e+00
-2.183333333333333570e+00,3.928213147253690973e+00,2.594646450457104514e+00,1.061047337274194113e+01,1.763178158116177174e+00
-2.149999999999999911e+00,3.914799570466384715e+00,2.604189552944387920e+00,1.053124299536225372e+01,1.763178158116177174e+00
-2.116666666666666696e+00,3.898682533594667987e+00,2.613696946756285389e+00,1.044917691254792480e+01,1.763178158116177174e+00
-2.083333333333333481e+00,3.875399445769048601e+00,2.623337905457594488e+00,1.036710389157473244e+01,1.763178158116177174e+00
-2.050000000000000266e+00,3.844895749465433887e+00,2.633227457141452899e+00,1.028527073465426511e+01,1.763178158116177174e+00
-2.016666666666666607e+00,3.814179223978173550e+00,2.643621290616563257e+00,1.020388586233602268e+01,1.763178158116177174e+00
-1.983333333333333393e+00,3.793588099692214666e+00,2.655847898691101605e+00,1.013180791370628953e+01,1.763178158116177174e+00
-1.950000000000000178e+00,3.777150745512696695e+00,2.667541659179771596e+00,1.006096044484203667e+01,1.763178158116177174e+00
-1.916666666666666963e+00,3.761398165594674659e+00,2.678683284157692857e+00,9.983890209196033538e+00,1.763178158116177174e+00
-1.883333333333333304e+00,3.745674298839429373e+00,2.689207567660089726e+00,9.904107363597422165e+00,1.763178158116177174e+00
-1.850000000000000089e+00,3.728209932750322420e+00,2.699389528511272118e+00,9.824686543910509329e+00,1.763178158116177174e+00
-1.816666666666666874e+00,3.707124223445404265e+00,2.709510840703717616e+00,9.748555460304807241e+00,1.763178158116177174e+00
-1.783333333333333215e+00,3.683434291551320072e+00,2.719497180030220118e+00,9.678429215817615727e+00,1.763178158116177174e+00
-1.750000000000000000e+00,3.660576540031591275e+00,2.729073538022436018e+00,9.613550099850684205e+00,1.763178158116177174e+00
-1.716666666666666785e+00,3.640487942501192453e+00,2.738483273950423236e+00,9.548914548564070515e+00,1.763178158116177174e+00
-1.683333333333333570e+00,3.624118301709362999e+00,2.747520041954918391e+00,9.486319600387165707e+00,1.763178158116177174e+00
-1.649999999999999911e+00,3.615475045903837614e+00,2.753134027320894184e+00,9.446840968116781312e+00,1.763178158116177174e+00
-1.616666666666666696e+00,3.621963595493441268e+00,2.750706181730111055e+00,9.462426948637631341e+00,1.763178158116177174e+00
-1.583333333333333481e+00,3.682698206011676412e+00,2.719654025022809396e+00,9.678551925193218608e+00,1.763178158116177174e+00
-1.550000000000000266e+00,3.906213013216921937e+00,2.610456213273256498e+00,1.049344381695777884e+01,1.763178158116177174e+00
-1.516666666666666607e+00,4.037456765445448070e+00,2.530463574808620830e+00,1.101619893100801839e+01,1.763178158116177174e+00
-1.483333333333333393e+00,4.064322668006626671e+00,2.520842032685519207e+00,1.114861826868377115e+01,1.763178158116177174e+00
-1.450000000000000178e+00,4.075810486295501356e+00,2.523269204330324200e+00,1.117754923122675592e+01,1.763178158116177174e+00
-1.416666666666666963e+00,4.073871868995079026e+00,2.526878441122929697e+00,1.115718441747380218e+01,1.763178158116177174e+00
-1.383333333333333304e+00,4.062695366844583766e+00,2.531024556236615819e+00,1.110750554153076486e+01,1.763178158116177174e+00
-1.350000000000000089e+00,4.045800667206997048e+00,2.536187142505391900e+00,1.104177351916791849e+01,1.763178158116177174e+00
-1.316666666666666874e+00,4.024990476213463175e+00,2.542912161404049520e+00,1.096966725292785405e+01,1.763178158116177174e+00
-1.283333333333333659e+00,4.005763174856656228e+00,2.552489592253222916e+00,1.090454235240826186e+01,1.763178158116177174e+00
-1.250000000000000000e+00,3.988853313196294881e+00,2.563891766342797141e+00,1.084356181213934178e+01,1.763178158116177174e+00
-1.216666666666666785e+00,3.971618126071935873e+00,2.575504056343977055e+00,1.077442968882693286e+01,1.763178158116177174e+00
