x, u, time
4.003202562049639444e-04,4.992122254845938995e-10,2.332049787172713606e-01
1.200960768614891833e-03,4.389927391841949361e-10,2.332049787172713606e-01
2.001601281024820156e-03,3.858890258893144886e-10,2.332049787172713606e-01
2.802241793434748045e-03,3.390786810008509506e-10,2.332049787172713606e-01
3.602882305844675934e-03,2.978321032036775866e-10,2.332049787172713606e-01
4.403522818254604690e-03,2.615022909049648440e-10,2.332049787172713606e-01
5.204163330664531711e-03,2.295157290188362816e-10,2.332049787172713606e-01
6.004803843074460468e-03,2.013642532036371158e-10,2.332049787172713606e-01
6.805444355484387489e-03,1.765977899404166490e-10,2.332049787172713606e-01
7.606084867894316245e-03,1.548178810405596636e-10,2.332049787172713606e-01
8.406725380304245002e-03,1.356719103861233209e-10,2.332049787172713606e-01
9.207365892714172023e-03,1.188479590289338212e-10,2.332049787172713606e-01
1.000800640512410078e-02,1.040702222865623715e-10,2.332049787172713606e-01
1.080864691753402780e-02,9.109492925027906949e-11,2.332049787172713606e-01
1.160928742994395656e-02,7.970671123087819025e-11,2.332049787172713606e-01
1.240992794235388358e-02,6.971537117546419081e-11,2.332049787172713606e-01
1.321056845476381233e-02,6.095301104903898253e-11,2.332049787172713606e-01
1.401120896717374109e-02,5.327147864098002147e-11,2.332049787172713606e-01
1.481184947958366811e-02,4.654009927542409966e-11,2.332049787172713606e-01
1.561248999199359687e-02,4.064366151922714627e-11,2.332049787172713606e-01
1.641313050440352389e-02,3.548062923059381576e-11,2.332049787172713606e-01
1.721377101681344918e-02,3.096155521099518364e-11,2.332049787172713606e-01
1.801441152922337793e-02,2.700767434488558979e-11,2.332049787172713606e-01
1.881505204163330669e-02,2.354965646513349146e-11,2.332049787172713606e-01
1.961569255404323545e-02,2.052650129340893337e-11,2.332049787172713606e-01
2.041633306645316420e-02,1.788455969799628998e-11,2.332049787172713606e-01
2.121697357886308949e-02,1.557666720831783552e-11,2.332049787172713606e-01
2.201761409127301825e-02,1.356137724546351024e-11,2.332049787172713606e-01
2.281825460368294700e-02,1.180228288898684475e-11,2.332049787172713606e-01
2.361889511609287576e-02,1.026741721818223997e-11,2.332049787172713606e-01
2.441953562850280104e-02,8.928723355498859080e-12,2.332049787172713606e-01
2.522017614091272980e-02,7.761586313740653124e-12,2.332049787172713606e-01
2.602081665332265856e-02,6.744419619072806058e-12,2.332049787172713606e-01
2.682145716573258731e-02,5.858300459230685408e-12,2.332049787172713606e-01
2.762209767814251607e-02,5.086647800312895488e-12,2.332049787172713606e-01
2.842273819055244136e-02,4.414938534778105377e-12,2.332049787172713606e-01
2.922337870296237011e-02,3.830457275535974525e-12,2.332049787172713606e-01
3.002401921537229887e-02,3.322075903325240590e-12,2.332049787172713606e-01
3.082465972778222763e-02,2.880059413213596570e-12,2.332049787172713606e-01
3.162530024019215291e-02,2.495894996687252960e-12,2.332049787172713606e-01
3.242594075260208514e-02,2.162141643510369102e-12,2.332049787172713606e-01
3.322658126501201042e-02,1.872297856896941050e-12,2.332049787172713606e-01
3.402722177742193571e-02,1.620685350641820237e-12,2.332049787172713606e-01
3.482786228983186794e-02,1.402346841382515153e-12,2.332049787172713606e-01
3.562850280224179322e-02,1.212956266403312412e-12,2.332049787172713606e-01
3.642914331465172545e-02,1.048739950300325737e-12,2.332049787172713606e-01
3.722978382706165074e-02,9.064074150437048775e-13,2.332049787172713606e-01
3.803042433947157602e-02,7.830906798676438088e-13,2.332049787172713606e-01
3.883106485188150825e-02,6.762910321065676666e-13,2.332049787172713606e-01
3.963170536429143354e-02,5.838323694691912359e-13,2.332049787172713606e-01
4.043234587670136576e-02,5.038203199922683158e-13,2.332049787172713606e-01
4.123298638911129105e-02,4.346064395531924021e-13,2.332049787172713606e-01
4.203362690152121633e-02,3.747568696926362958e-13,2.332049787172713606e-01
4.283426741393114856e-02,3.230249118093722747e-13,2.332049787172713606e-01
4.363490792634107385e-02,2.783270386102816049e-13,2.332049787172713606e-01
4.443554843875099913e-02,2.397219209868599640e-13,2.332049787172713606e-01
4.523618895116093136e-02,2.063920990958675512e-13,2.332049787172713606e-01
4.603682946357085665e-02,1.776279711051758982e-13,2.332049787172713606e-01
4.683746997598078887e-02,1.528138125004927154e-13,2.332049787172713606e-01
4.763811048839071416e-02,1.314155736351040060e-13,2.332049787172713606e-01
4.843875100080063945e-02,1.129702338764947306e-13,2.332049787172713606e-01
4.923939151321057167e-02,9.707651773471723238e-14,2.332049787172713606e-01
5.004003202562049696e-02,8.338680216881168364e-14,2.332049787172713606e-01
5.084067253803042918e-02,7.160006523304194386e-14,2.332049787172713606e-01
5.164131305044035447e-02,6.145574467586701270e-14,2.332049787172713606e-01
5.244195356285027976e-02,5.272839133533282342e-14,2.332049787172713606e-01
5.324259407526021198e-02,4.522301644555322896e-14,2.332049787172713606e-01
5.404323458767013727e-02,3.877104451099258717e-14,2.332049787172713606e-01
5.484387510008006950e-02,3.322679442267257918e-14,2.332049787172713606e-01
5.564451561248999478e-02,2.846442116411663450e-14,2.332049787172713606e-01
5.644515612489992007e-02,2.437525894477364444e-14,2.332049787172713606e-01
5.724579663730985229e-02,2.086551404623285960e-14,2.332049787172713606e-01
5.804643714971977758e-02,1.785426219674461750e-14,2.332049787172713606e-01
