x, u, time
2.500000000000000052e-03,6.749457065869675395e-10,1.804999999999856719e+00
7.499999999999999722e-03,1.079005913136646299e-09,1.804999999999856719e+00
1.250000000000000069e-02,1.779704402478883406e-09,1.804999999999856719e+00
1.749999999999999820e-02,2.982401037431411093e-09,1.804999999999856719e+00
2.249999999999999917e-02,4.945779140848894260e-09,1.804999999999856719e+00
2.750000000000000014e-02,8.121399717611066088e-09,1.804999999999856719e+00
3.250000000000000111e-02,1.354715420338473869e-08,1.804999999999856719e+00
3.750000000000000555e-02,2.263766385753972498e-08,1.804999999999856719e+00
4.250000000000000305e-02,3.718466526554805252e-08,1.804999999999856719e+00
4.750000000000000056e-02,6.120276794133325500e-08,1.804999999999856719e+00
5.250000000000000500e-02,1.019962754658263258e-07,1.804999999999856719e+00
5.750000000000000250e-02,1.687051916056345715e-07,1.804999999999856719e+00
6.250000000000000000e-02,2.756205034904332947e-07,1.804999999999856719e+00
6.750000000000000444e-02,4.523009537080219329e-07,1.804999999999856719e+00
7.250000000000000888e-02,7.463970320490460599e-07,1.804999999999856719e+00
7.749999999999999944e-02,1.221063807872068643e-06,1.804999999999856719e+00
8.250000000000000389e-02,1.978971147534318624e-06,1.804999999999856719e+00
8.750000000000000833e-02,3.212127226058132295e-06,1.804999999999856719e+00
9.249999999999999889e-02,5.224316765983001048e-06,1.804999999999856719e+00
9.750000000000000333e-02,8.438798073151893857e-06,1.804999999999856719e+00
1.025000000000000078e-01,1.351341157545720152e-05,1.804999999999856719e+00
1.074999999999999983e-01,2.159103618167173725e-05,1.804999999999856719e+00
1.125000000000000028e-01,3.450766529641852859e-05,1.804999999999856719e+00
1.175000000000000072e-01,5.490712412917539810e-05,1.804999999999856719e+00
1.224999999999999978e-01,8.664498336076389019e-05,1.804999999999856719e+00
1.275000000000000022e-01,1.358639321723719090e-04,1.804999999999856719e+00
1.325000000000000067e-01,2.124320808517571758e-04,1.804999999999856719e+00
1.375000000000000111e-01,3.311071198657736378e-04,1.804999999999856719e+00
1.425000000000000155e-01,5.127356579383782068e-04,1.804999999999856719e+00
1.474999999999999922e-01,7.869880499052632657e-04,1.804999999999856719e+00
1.524999999999999967e-01,1.197786890341270491e-03,1.804999999999856719e+00
1.575000000000000011e-01,1.810892724478905614e-03,1.804999999999856719e+00
1.625000000000000056e-01,2.721724359446720237e-03,1.804999999999856719e+00
1.675000000000000100e-01,4.060987722376299680e-03,1.804999999999856719e+00
