x, u, time
4.003202562049639444e-04,9.429715074981408485e-01,4.864099446143627659e-01
1.200960768614891833e-03,9.364751668451760658e-01,4.864099446143627659e-01
2.001601281024820156e-03,9.296659486036085163e-01,4.864099446143627659e-01
2.802241793434748045e-03,9.225513455460137013e-01,4.864099446143627659e-01
3.602882305844675934e-03,9.151391455188166990e-01,4.864099446143627659e-01
4.403522818254604690e-03,9.074374172472869926e-01,4.864099446143627659e-01
5.204163330664531711e-03,8.994544957153566278e-01,4.864099446143627659e-01
6.004803843074460468e-03,8.911989671583775419e-01,4.864099446143627659e-01
6.805444355484387489e-03,8.826796537058980707e-01,4.864099446143627659e-01
7.606084867894316245e-03,8.739055977117420326e-01,4.864099446143627659e-01
8.406725380304245002e-03,8.648860458093933223e-01,4.864099446143627659e-01
9.207365892714172023e-03,8.556304327314495639e-01,4.864099446143627659e-01
1.000800640512410078e-02,8.461483649327466994e-01,4.864099446143627659e-01
1.080864691753402780e-02,8.364496040570379432e-01,4.864099446143627659e-01
1.160928742994395656e-02,8.265440502869144668e-01,4.864099446143627659e-01
1.240992794235388358e-02,8.164417256167258996e-01,4.864099446143627659e-01
1.321056845476381233e-02,8.061527570877242699e-01,4.864099446143627659e-01
1.401120896717374109e-02,7.956873600241536337e-01,4.864099446143627659e-01
1.481184947958366811e-02,7.850558213087690529e-01,4.864099446143627659e-01
1.561248999199359687e-02,7.742684827355585941e-01,4.864099446143627659e-01
1.641313050440352389e-02,7.633357244767590144e-01,4.864099446143627659e-01
1.721377101681344918e-02,7.522679487006246335e-01,4.864099446143627659e-01
1.801441152922337793e-02,7.410755633753678406e-01,4.864099446143627659e-01
1.881505204163330669e-02,7.297689662938237065e-01,4.864099446143627659e-01
1.961569255404323545e-02,7.183585293520272641e-01,4.864099446143627659e-01
2.041633306645316420e-02,7.068545831141763713e-01,4.864099446143627659e-01
2.121697357886308949e-02,6.952674016947169022e-01,4.864099446143627659e-01
2.201761409127301825e-02,6.836071879873582002e-01,4.864099446143627659e-01
2.281825460368294700e-02,6.718840592691339708e-01,4.864099446143627659e-01
2.361889511609287576e-02,6.601080332063985479e-01,4.864099446143627659e-01
2.441953562850280104e-02,6.482890142879370599e-01,4.864099446143627659e-01
2.522017614091272980e-02,6.364367807089806872e-01,4.864099446143627659e-01
2.602081665332265856e-02,6.245609717281707107e-01,4.864099446143627659e-01
2.682145716573258731e-02,6.126710755178735868e-01,4.864099446143627659e-01
2.762209767814251607e-02,6.007764175267222839e-01,4.864099446143627659e-01
2.842273819055244136e-02,5.888861493712401751e-01,4.864099446143627659e-01
2.922337870296237011e-02,5.770092382719510526e-01,4.864099446143627659e-01
3.002401921537229887e-02,5.651544570475913742e-01,4.864099446143627659e-01
3.082465972778222763e-02,5.533303746792169742e-01,4.864099446143627659e-01
3.162530024019215291e-02,5.415453474540719014e-01,4.864099446143627659e-01
3.242594075260208514e-02,5.298075106977836457e-01,4.864099446143627659e-01
3.322658126501201042e-02,5.181247711013972079e-01,4.864099446143627659e-01
3.402722177742193571e-02,5.065047996478609926e-01,4.864099446143627659e-01
3.482786228983186794e-02,4.949550251414329693e-01,4.864099446143627659e-01
3.562850280224179322e-02,4.834826283412736458e-01,4.864099446143627659e-01
3.642914331465172545e-02,4.720945366991103898e-01,4.864099446143627659e-01
3.722978382706165074e-02,4.607974196992564719e-01,4.864099446143627659e-01
3.803042433947157602e-02,4.495976847975646784e-01,4.864099446143627659e-01
3.883106485188150825e-02,4.385014739545032292e-01,4.864099446143627659e-01
3.963170536429143354e-02,4.275146607560156853e-01,4.864099446143627659e-01
4.043234587670136576e-02,4.166428481145289520e-01,4.864099446143627659e-01
4.123298638911129105e-02,4.058913665409091265e-01,4.864099446143627659e-01
4.203362690152121633e-02,3.952652729770876339e-01,4.864099446143627659e-01
4.283426741393114856e-02,3.847693501777443847e-01,4.864099446143627659e-01
4.363490792634107385e-02,3.744081066282474723e-01,4.864099446143627659e-01
4.443554843875099913e-02,3.641857769850201931e-01,4.864099446143627659e-01
4.523618895116093136e-02,3.541063230235429460e-01,4.864099446143627659e-01
