x, rho, v, P, time
-3.150000000000000355e+00,3.856802044281263164e+00,2.629541619137176767e+00,1.033192785390963842e+01,1.458708705213576762e+00
-3.116666666666666696e+00,3.855902983375928628e+00,2.629993666668104968e+00,1.032856096088985787e+01,1.458708705213576762e+00
-3.083333333333333481e+00,3.853704673847158535e+00,2.631099348456855225e+00,1.032032212722754849e+01,1.458708705213576762e+00
-3.049999999999999822e+00,3.848307370412050954e+00,2.633808698358246048e+00,1.030015297751407921e+01,1.458708705213576762e+00
-3.016666666666666607e+00,3.836534928995162019e+00,2.639739008738465564e+00,1.025607682279805388e+01,1.458708705213576762e+00
-2.983333333333333393e+00,3.817994911701356742e+00,2.649101112834508776e+00,1.018679042310841254e+01,1.458708705213576762e+00
-2.950000000000000178e+00,3.792895142956464127e+00,2.661836090208888894e+00,1.009318110439960492e+01,1.458708705213576762e+00
-2.916666666666666963e+00,3.759023375954746893e+00,2.679150786621969704e+00,9.967111728108381641e+00,1.458708705213576762e+00
-2.883333333333333304e+00,3.718751264416441771e+00,2.699837499048826306e+00,9.818228946121383416e+00,1.458708705213576762e+00
-2.850000000000000089e+00,3.689870719173107272e+00,2.714861968070124476e+00,9.711362161502385959e+00,1.458708705213576762e+00
-2.816666666666666874e+00,3.695044371855897847e+00,2.712337138061576614e+00,9.728552575378920153e+00,1.458708705213576762e+00
-2.783333333333333215e+00,3.824183645068890858e+00,2.646616903185445402e+00,1.018600851194078771e+01,1.458708705213576762e+00
-2.750000000000000000e+00,3.992170150344616530e+00,2.558037729916781799e+00,1.089898336282466040e+01,1.458708705213576762e+00
-2.716666666666666785e+00,4.056686881872207273e+00,2.529781367651218194e+00,1.112236961836606319e+01,1.458708705213576762e+00
-2.683333333333333570e+00,4.073370180487522418e+00,2.524970418376845771e+00,1.113877316819229613e+01,1.458708705213576762e+00
-2.649999999999999911e+00,4.074918654762733183e+00,2.525981656888093063e+00,1.111927592232918194e+01,1.458708705213576762e+00
-2.616666666666666696e+00,4.065798805601541055e+00,2.531017041300405612e+00,1.108888577968335198e+01,1.458708705213576762e+00
-2.583333333333333481e+00,4.048744492730428135e+00,2.538458051289298911e+00,1.105004926560161849e+01,1.458708705213576762e+00
-2.550000000000000266e+00,4.027405383763900559e+00,2.546352404068256359e+00,1.099488901219482706e+01,1.458708705213576762e+00
-2.516666666666666607e+00,4.005159549162500277e+00,2.553394120161418090e+00,1.091839170587316055e+01,1.458708705213576762e+00
